ID_Tramite,Tipo_Tramite,Facultad,Semestre,Dia_Semana,Hora_Solicitud,Numero_Solicitudes,Personal_Disponible,Tiempo_Promedio_Atencion,Modalidad,Sistema_Caido,Carga_Por_Personal,Hora_Pico,Indice_Demanda,Riesgo_Congestion,Congestion,Tiempo_por_Solicitud,Nivel_Congestion
18,Retiro,Administración,2025-II,Martes,15,0.8818181818181817,0.625,0.30000000000000004,Presencial,1,0.24220338983050843,1,0.11729489861661078,Medio,1,0.103,Alta
19,Matrícula,Medicina,2025-I,Jueves,8,0.9181818181818181,0.875,0.050000000000000044,Presencial,0,0.19203389830508474,1,0.04914614989249958,Bajo,1,0.054,Alta
20,Matrícula,Ingeniería,2025-II,Miércoles,9,0.38181818181818183,0.375,0.4,Virtual,0,0.15932203389830507,1,0.09344935173991413,Bajo,0,0.25,Baja
21,Retiro,Educación,2025-II,Lunes,14,0.8727272727272727,0.625,0.10000000000000003,Presencial,0,0.23966101694915254,1,0.07231122275389282,Bajo,1,0.066,Alta
22,Homologación,Derecho,2025-II,Viernes,9,0.1909090909090909,0.0,0.9500000000000002,Presencial,0,0.2457627118644068,1,0.26487089091422406,Alto,1,0.774,Alta
23,Homologación,Administración,2025-I,Lunes,12,0.8181818181818181,0.875,0.30000000000000004,Virtual,0,0.17135593220338982,0,0.0840530190605115,Bajo,1,0.11,Alta
24,Certificado,Derecho,2025-I,Jueves,11,0.9636363636363635,0.875,0.5,Virtual,0,0.20152542372881355,1,0.1355301544096888,Medio,1,0.129,Alta
25,Constancia,Arquitectura,2025-I,Viernes,17,0.14545454545454545,0.125,0.10000000000000003,Presencial,0,0.12999999999999998,0,0.03949644922867546,Bajo,1,0.269,Alta
26,Certificado,Arquitectura,2025-II,Martes,16,0.7181818181818181,0.75,0.5,Virtual,1,0.17152542372881355,1,0.11638277387269343,Medio,1,0.169,Alta
27,Retiro,Derecho,2025-I,Jueves,15,0.9272727272727271,0.5,0.8,Presencial,0,0.2994915254237288,1,0.27934906145259486,Alto,1,0.188,Alta
28,Certificado,Ingeniería,2025-II,Viernes,9,0.7636363636363636,0.75,0.0,Virtual,1,0.18220338983050846,1,0.038106544856991865,Bajo,1,0.053,Alta
29,Certificado,Medicina,2025-II,Viernes,15,0.09090909090909091,1.0,0.2,Presencial,0,0.01694915254237288,1,0.008607272385061423,Bajo,0,0.45,Baja
30,Matrícula,Educación,2025-I,Viernes,17,0.709090909090909,0.375,0.4,Presencial,0,0.28135593220338984,0,0.16120718985948937,Medio,1,0.148,Alta
31,Pago,Administración,2025-I,Viernes,12,0.34545454545454546,0.5,0.7000000000000001,Virtual,0,0.11864406779661017,0,0.10561101499214558,Medio,0,0.396,Baja
32,Matrícula,Ingeniería,2025-II,Lunes,10,0.6545454545454544,0.625,0.050000000000000044,Presencial,0,0.18152542372881356,1,0.046460449257631806,Bajo,1,0.073,Alta
33,Matrícula,Ingeniería,2025-I,Miércoles,8,0.3727272727272727,0.75,0.8,Virtual,0,0.09118644067796611,1,0.09249379248438167,Bajo,0,0.412,Baja
34,Retiro,Medicina,2025-I,Martes,16,0.3909090909090909,0.0,0.050000000000000044,Presencial,0,0.4322033898305085,1,0.11067837468057536,Medio,1,0.113,Alta
35,Matrícula,Derecho,2025-I,Lunes,9,0.5272727272727272,0.5,0.6000000000000001,Presencial,0,0.17508474576271185,1,0.13505237478192256,Medio,0,0.25,Baja
36,Matrícula,Arquitectura,2025-II,Viernes,13,0.5181818181818181,0.125,0.9000000000000001,Presencial,0,0.3615254237288135,0,0.3674270119227734,Alto,1,0.343,Alta
37,Constancia,Administración,2025-II,Lunes,8,0.7636363636363636,0.5,0.2,Virtual,0,0.24864406779661014,1,0.09764802119604166,Bajo,1,0.096,Alta
38,Homologación,Arquitectura,2025-I,Lunes,8,0.8909090909090909,0.875,0.45000000000000007,Presencial,0,0.1864406779661017,1,0.1171935514228422,Medio,1,0.13,Alta
39,Constancia,Derecho,2025-II,Martes,7,0.8272727272727272,0.0,0.5,Presencial,1,0.8389830508474577,0,0.5439376280413206,Alto,1,0.149,Alta
40,Constancia,Medicina,2025-II,Miércoles,13,0.40909090909090906,0.375,0.5,Virtual,0,0.1694915254237288,0,0.11502182584208659,Medio,0,0.273,Baja
41,Matrícula,Administración,2025-I,Viernes,14,0.018181818181818174,0.75,0.30000000000000004,Presencial,0,0.008474576271186442,1,0.0075214095946836155,Bajo,0,0.917,Baja
42,Constancia,Medicina,2025-I,Martes,10,0.8818181818181817,0.5,0.10000000000000003,Presencial,0,0.28525423728813554,1,0.08594242031576889,Bajo,1,0.065,Alta
43,Matrícula,Arquitectura,2025-II,Miércoles,11,0.13636363636363635,0.875,0.75,Presencial,1,0.03016949152542373,1,0.03579727665612173,Bajo,1,0.8,Alta
44,Pago,Medicina,2025-I,Miércoles,11,0.3181818181818181,0.125,0.55,Presencial,0,0.23728813559322032,1,0.16931496536097698,Medio,1,0.356,Alta
45,Homologación,Medicina,2025-I,Viernes,15,0.9818181818181818,0.5,0.5,Virtual,0,0.3164406779661017,1,0.2091299343414966,Alto,1,0.127,Alta
46,Pago,Medicina,2025-II,Jueves,15,0.14545454545454545,1.0,0.55,Presencial,0,0.02711864406779661,1,0.025691513620338936,Bajo,0,0.615,Baja
47,Certificado,Arquitectura,2025-II,Lunes,17,0.5272727272727272,0.125,0.25,Presencial,0,0.3672881355932204,0,0.15966526469715286,Medio,1,0.147,Alta
48,Matrícula,Arquitectura,2025-I,Viernes,8,0.018181818181818174,0.625,0.9500000000000002,Presencial,0,0.012033898305084743,1,0.025358515697956406,Bajo,0,2.0,Baja
49,Constancia,Ingeniería,2025-I,Lunes,18,0.4636363636363636,0.375,0.7000000000000001,Presencial,1,0.18983050847457625,0,0.163378915440245,Medio,1,0.311,Alta
50,Matrícula,Ingeniería,2025-II,Lunes,7,0.8272727272727272,0.125,0.9000000000000001,Virtual,0,0.5537288135593221,0,0.5561210085493596,Alto,1,0.228,Alta
51,Matrícula,Medicina,2025-II,Lunes,14,0.20909090909090908,0.75,0.30000000000000004,Presencial,0,0.05288135593220339,1,0.02842788785209101,Bajo,0,0.333,Baja
52,Matrícula,Derecho,2025-I,Jueves,14,0.26363636363636367,0.625,0.45000000000000007,Virtual,0,0.07745762711864408,1,0.05204178400017373,Bajo,0,0.359,Baja
53,Homologación,Arquitectura,2025-II,Viernes,11,0.9181818181818181,1.0,0.5,Presencial,0,0.1711864406779661,1,0.11610768863246439,Medio,1,0.135,Alta
54,Constancia,Educación,2025-I,Martes,13,0.6272727272727272,1.0,0.45000000000000007,Presencial,1,0.11694915254237288,0,0.07564120197771808,Bajo,1,0.177,Alta
55,Pago,Medicina,2025-II,Jueves,17,0.5272727272727272,0.5,0.4,Virtual,0,0.17508474576271185,0,0.10223036217143602,Bajo,0,0.191,Baja
56,Matrícula,Medicina,2025-I,Martes,16,0.6727272727272726,0.5,0.3500000000000001,Presencial,0,0.22033898305084745,1,0.1171935514228422,Medio,1,0.143,Alta
57,Matrícula,Ingeniería,2025-I,Martes,18,0.19999999999999998,0.0,0.3500000000000001,Presencial,0,0.2542372881355932,0,0.13456735606888715,Medio,1,0.375,Alta
58,Matrícula,Derecho,2025-I,Viernes,15,0.1727272727272727,0.625,0.45000000000000007,Virtual,0,0.05322033898305084,1,0.03756361346180296,Bajo,0,0.483,Baja
59,Matrícula,Ingeniería,2025-I,Miércoles,7,0.1727272727272727,0.75,0.9000000000000001,Virtual,0,0.04440677966101696,0,0.05593641187499546,Bajo,0,0.793,Baja
60,Certificado,Arquitectura,2025-II,Jueves,15,0.03636363636363635,0.25,0.15000000000000002,Presencial,0,0.0423728813559322,1,0.015846357654246808,Bajo,0,0.571,Baja
61,Homologación,Administración,2025-I,Viernes,8,0.12727272727272726,0.0,0.65,Presencial,1,0.1864406779661017,1,0.15194116071493205,Medio,1,0.75,Alta
62,Matrícula,Medicina,2025-I,Miércoles,11,0.7545454545454545,0.75,0.7000000000000001,Presencial,0,0.17999999999999997,1,0.15547383432629452,Medio,1,0.204,Alta
63,Homologación,Arquitectura,2025-II,Jueves,17,0.23636363636363636,0.75,0.2,Virtual,0,0.05932203389830509,0,0.02489521424072854,Bajo,0,0.25,Baja
64,Homologación,Administración,2025-II,Martes,12,0.06363636363636363,0.5,0.55,Presencial,0,0.031016949152542373,0,0.028391692425745078,Bajo,0,0.941,Baja
65,Pago,Derecho,2025-I,Martes,18,0.3909090909090909,0.25,0.25,Presencial,0,0.2076271186440678,0,0.09149479871723408,Bajo,0,0.189,Baja
66,Matrícula,Arquitectura,2025-I,Viernes,17,0.018181818181818174,0.75,0.45000000000000007,Presencial,0,0.008474576271186442,0,0.01077899796581704,Bajo,0,1.167,Baja
67,Retiro,Derecho,2025-II,Martes,7,0.1636363636363636,0.0,0.10000000000000003,Presencial,0,0.22033898305084745,0,0.0665199545385445,Bajo,1,0.25,Alta
68,Pago,Administración,2025-I,Lunes,7,0.26363636363636367,0.5,0.3500000000000001,Presencial,0,0.09322033898305085,0,0.05204178400017373,Bajo,0,0.308,Baja
69,Retiro,Administración,2025-I,Miércoles,7,0.8181818181818181,0.125,0.7000000000000001,Presencial,0,0.5479661016949152,0,0.4540499062538458,Alto,1,0.19,Alta
70,Constancia,Ingeniería,2025-II,Martes,7,0.04545454545454544,0.25,0.0,Virtual,0,0.046610169491525424,0,0.009150203780250325,Bajo,0,0.333,Baja
71,Matrícula,Educación,2025-II,Jueves,7,0.5636363636363636,0.0,0.6000000000000001,Virtual,0,0.5932203389830509,0,0.4386089373746733,Alto,1,0.236,Alta
72,Constancia,Ingeniería,2025-I,Viernes,15,0.1818181818181818,1.0,0.2,Presencial,0,0.03389830508474577,1,0.015122449127328269,Bajo,0,0.3,Baja
73,Certificado,Arquitectura,2025-I,Viernes,17,0.8727272727272727,1.0,0.75,Presencial,0,0.16271186440677965,0,0.14904552660725792,Medio,1,0.189,Alta
74,Certificado,Derecho,2025-I,Lunes,14,0.06363636363636363,0.375,0.3500000000000001,Virtual,0,0.04067796610169491,1,0.0251123867988041,Bajo,0,0.706,Baja
75,Constancia,Medicina,2025-II,Martes,12,0.9999999999999999,0.25,0.7000000000000001,Presencial,0,0.4915254237288135,0,0.4082047792440947,Alto,1,0.158,Alta
76,Retiro,Derecho,2025-I,Martes,15,0.00909090909090908,0.625,0.10000000000000003,Virtual,1,0.009661016949152543,1,0.0035399126966316535,Bajo,1,0.636,Alta
77,Matrícula,Ingeniería,2025-I,Jueves,13,0.054545454545454536,0.25,0.3500000000000001,Virtual,0,0.05084745762711865,0,0.03032452819261758,Bajo,0,0.75,Baja
78,Constancia,Ingeniería,2025-I,Lunes,8,0.7454545454545454,0.875,0.8,Presencial,0,0.15627118644067797,1,0.1509783623741304,Medio,1,0.228,Alta
79,Retiro,Derecho,2025-I,Martes,15,0.9727272727272726,0.125,0.45000000000000007,Virtual,0,0.6440677966101696,1,0.3908309745980498,Alto,1,0.12,Alta
80,Certificado,Administración,2025-II,Miércoles,18,0.4636363636363636,0.625,0.8,Presencial,0,0.1306779661016949,0,0.1280521793266203,Medio,0,0.344,Baja
81,Constancia,Arquitectura,2025-I,Miércoles,18,0.09999999999999998,0.75,0.8500000000000001,Presencial,0,0.02745762711864407,0,0.03738263633007333,Bajo,0,1.048,Baja
82,Pago,Educación,2025-II,Viernes,7,0.5363636363636363,0.625,0.6000000000000001,Presencial,0,0.15016949152542372,0,0.11688227075626723,Medio,0,0.246,Baja
83,Pago,Administración,2025-I,Lunes,10,0.6909090909090908,1.0,0.8500000000000001,Virtual,0,0.1288135593220339,1,0.13254041219351523,Medio,1,0.256,Alta
84,Constancia,Ingeniería,2025-I,Martes,8,0.1727272727272727,0.0,0.10000000000000003,Presencial,0,0.2288135593220339,1,0.06905363438275938,Bajo,1,0.241,Alta
85,Pago,Arquitectura,2025-I,Jueves,8,0.24545454545454545,0.625,0.65,Presencial,0,0.07271186440677967,1,0.06444957615155748,Bajo,0,0.486,Baja
86,Matrícula,Derecho,2025-I,Miércoles,15,0.9363636363636362,0.375,0.4,Presencial,0,0.36610169491525424,1,0.20826124410919436,Alto,1,0.115,Alta
87,Retiro,Medicina,2025-II,Lunes,15,0.5909090909090908,0.25,0.10000000000000003,Virtual,0,0.3008474576271186,1,0.09058991305858591,Bajo,1,0.093,Alta
88,Retiro,Educación,2025-I,Jueves,9,0.00909090909090908,0.625,0.10000000000000003,Virtual,0,0.009661016949152543,1,0.0035399126966316535,Bajo,0,0.636,Baja
89,Certificado,Administración,2025-II,Viernes,18,0.06363636363636363,0.375,0.45000000000000007,Presencial,0,0.04067796610169491,0,0.03003496478185017,Bajo,0,0.824,Baja
90,Constancia,Educación,2025-I,Martes,14,0.1818181818181818,0.75,0.30000000000000004,Presencial,0,0.046610169491525424,1,0.025438145635917446,Bajo,0,0.367,Baja
91,Matrícula,Derecho,2025-I,Viernes,15,0.7545454545454545,0.625,0.6000000000000001,Presencial,0,0.20830508474576268,1,0.15907889879034887,Medio,1,0.183,Alta
92,Pago,Educación,2025-I,Jueves,11,0.7727272727272727,0.375,0.75,Virtual,0,0.30508474576271183,1,0.27066215912957237,Alto,1,0.211,Alta
93,Certificado,Administración,2025-I,Viernes,17,0.8727272727272727,0.875,0.10000000000000003,Presencial,0,0.18271186440677964,0,0.055255937859692045,Bajo,1,0.066,Alta
94,Certificado,Administración,2025-I,Martes,9,0.28181818181818175,0.375,0.7000000000000001,Virtual,0,0.12203389830508472,1,0.10836186739443604,Medio,0,0.463,Baja
95,Pago,Medicina,2025-I,Viernes,12,0.1909090909090909,0.125,0.9000000000000001,Presencial,0,0.15813559322033896,0,0.16762825849325677,Medio,1,0.742,Alta
96,Constancia,Administración,2025-II,Jueves,18,0.4,0.875,0.5,Virtual,0,0.08474576271186442,0,0.060728686323196196,Bajo,0,0.278,Baja
97,Retiro,Medicina,2025-II,Jueves,15,0.3363636363636363,0.625,0.8500000000000001,Presencial,0,0.09677966101694915,1,0.10250544741166506,Bajo,0,0.468,Baja
98,Pago,Derecho,2025-I,Viernes,12,0.8454545454545453,0.875,0.6000000000000001,Presencial,0,0.17694915254237287,0,0.1364205618977986,Medio,1,0.165,Alta
99,Constancia,Educación,2025-II,Jueves,10,0.7909090909090908,0.625,0.4,Presencial,0,0.21796610169491523,1,0.12598180093963326,Medio,1,0.134,Alta
100,Constancia,Administración,2025-II,Martes,15,0.3363636363636363,0.375,0.3500000000000001,Presencial,0,0.1423728813559322,1,0.07723380073693888,Bajo,0,0.255,Baja
101,Matrícula,Medicina,2025-I,Jueves,16,0.28181818181818175,0.75,0.5,Presencial,0,0.06983050847457628,1,0.051231006450024964,Bajo,0,0.366,Baja
102,Certificado,Ingeniería,2025-II,Viernes,9,0.4545454545454545,0.5,0.8500000000000001,Presencial,0,0.15254237288135591,1,0.1548367948226062,Medio,0,0.367,Baja
103,Pago,Derecho,2025-II,Lunes,7,0.1636363636363636,0.625,0.9500000000000002,Presencial,0,0.05084745762711865,0,0.06507213748470743,Bajo,0,0.857,Baja
104,Certificado,Medicina,2025-II,Martes,10,0.12727272727272726,0.125,0.9500000000000002,Presencial,0,0.11864406779661017,1,0.13456735606888715,Medio,1,1.0,Alta
105,Matrícula,Medicina,2025-I,Viernes,13,0.7545454545454545,0.875,0.2,Presencial,0,0.15813559322033896,0,0.0629004119039518,Bajo,1,0.097,Alta
106,Constancia,Arquitectura,2025-I,Martes,12,0.6454545454545454,1.0,0.9000000000000001,Presencial,0,0.12033898305084746,0,0.13044107746545147,Medio,1,0.284,Alta
107,Matrícula,Medicina,2025-I,Lunes,12,0.6454545454545454,0.0,0.25,Presencial,0,0.6694915254237288,0,0.28875987230253586,Alto,1,0.123,Alta
108,Retiro,Arquitectura,2025-II,Jueves,7,0.7272727272727272,1.0,0.10000000000000003,Presencial,0,0.13559322033898305,0,0.041183156096395654,Bajo,1,0.078,Alta
109,Certificado,Medicina,2025-I,Viernes,17,0.5454545454545454,0.875,0.7000000000000001,Presencial,0,0.11491525423728814,0,0.10255612100854936,Bajo,0,0.271,Baja
110,Retiro,Educación,2025-I,Miércoles,10,0.6545454545454544,0.25,1.0,Presencial,1,0.3305084745762712,1,0.3665800389462787,Alto,1,0.305,Alta
111,Retiro,Administración,2025-II,Viernes,9,0.3909090909090909,0.25,0.9000000000000001,Virtual,0,0.2076271186440678,1,0.21618804247895235,Alto,1,0.434,Alta
112,Matrícula,Medicina,2025-II,Martes,13,0.5727272727272726,0.5,1.0,Presencial,0,0.18932203389830507,0,0.21576817553333963,Alto,1,0.342,Alta
113,Pago,Arquitectura,2025-I,Lunes,15,0.5363636363636363,0.375,0.0,Presencial,1,0.21694915254237288,1,0.04552660725790689,Bajo,1,0.072,Alta
114,Matrícula,Derecho,2025-I,Miércoles,12,0.03636363636363635,0.25,0.2,Virtual,0,0.0423728813559322,0,0.018380037498461694,Bajo,0,0.643,Baja
115,Certificado,Educación,2025-I,Jueves,18,0.24545454545454545,0.75,0.6000000000000001,Virtual,0,0.061355932203389835,0,0.05249060728686323,Bajo,0,0.459,Baja
116,Matrícula,Arquitectura,2025-II,Viernes,10,0.809090909090909,1.0,0.8,Presencial,0,0.15084745762711865,1,0.1460775016468919,Medio,1,0.212,Alta
117,Retiro,Derecho,2025-I,Lunes,11,0.9727272727272726,1.0,0.25,Presencial,0,0.1813559322033898,1,0.08027421654999674,Bajo,1,0.085,Alta
118,Retiro,Derecho,2025-I,Miércoles,17,0.08181818181818182,0.75,0.2,Virtual,0,0.023389830508474572,0,0.011054083206046082,Bajo,0,0.474,Baja
119,Certificado,Medicina,2025-II,Lunes,11,0.32727272727272727,0.125,0.4,Presencial,0,0.2428813559322034,1,0.13987360557120004,Medio,1,0.283,Alta
120,Matrícula,Administración,2025-I,Viernes,7,0.8818181818181817,0.875,0.55,Virtual,0,0.18457627118644068,0,0.13327879889097213,Medio,1,0.15,Alta
121,Matrícula,Arquitectura,2025-II,Miércoles,9,0.44545454545454544,0.75,0.4,Presencial,0,0.10813559322033899,1,0.0649852684614772,Bajo,0,0.22,Baja
122,Pago,Medicina,2025-I,Lunes,14,0.20909090909090908,0.0,0.8500000000000001,Presencial,0,0.2627118644067796,1,0.25835571417195724,Alto,1,0.667,Alta
123,Retiro,Arquitectura,2025-II,Viernes,9,0.5272727272727272,1.0,0.30000000000000004,Presencial,0,0.09830508474576272,1,0.04972527671403441,Bajo,0,0.162,Baja
124,Pago,Derecho,2025-II,Lunes,12,0.8999999999999999,0.75,0.2,Presencial,0,0.21389830508474575,0,0.08434258247127892,Bajo,1,0.083,Alta
125,Matrícula,Medicina,2025-I,Martes,7,0.9090909090909091,0.625,0.9500000000000002,Presencial,0,0.2493220338983051,0,0.26859178074258533,Alto,1,0.218,Alta
126,Matrícula,Administración,2025-II,Lunes,10,0.10909090909090907,0.375,0.25,Presencial,0,0.057627118644067804,1,0.027428894084943426,Bajo,0,0.455,Baja
127,Homologación,Derecho,2025-II,Lunes,16,0.1818181818181818,0.875,0.25,Virtual,0,0.039491525423728815,1,0.01970479010272262,Bajo,0,0.333,Baja
128,Retiro,Ingeniería,2025-I,Viernes,13,0.49090909090909085,0.75,0.5,Virtual,1,0.11864406779661017,0,0.08244594213075235,Bajo,1,0.234,Alta
129,Constancia,Administración,2025-II,Miércoles,13,0.09090909090909091,1.0,0.65,Presencial,0,0.01694915254237288,0,0.02163762586959512,Bajo,0,0.9,Baja
130,Homologación,Arquitectura,2025-II,Lunes,10,0.8909090909090909,0.5,0.75,Virtual,0,0.288135593220339,1,0.2561839885912016,Alto,1,0.185,Alta
131,Matrícula,Ingeniería,2025-I,Miércoles,10,0.4636363636363636,0.5,0.0,Virtual,0,0.15542372881355931,1,0.03237318932379704,Bajo,0,0.082,Baja
132,Matrícula,Educación,2025-I,Martes,8,0.8727272727272727,0.25,0.2,Virtual,0,0.4322033898305085,1,0.16822910257059917,Medio,1,0.085,Alta
133,Retiro,Arquitectura,2025-I,Martes,9,0.4,0.375,0.050000000000000044,Presencial,0,0.16610169491525423,1,0.04248619144484902,Bajo,0,0.111,Baja
134,Matrícula,Medicina,2025-I,Martes,9,0.1636363636363636,0.875,0.5,Virtual,0,0.03576271186440677,1,0.029361729851815923,Bajo,0,0.536,Baja
135,Certificado,Arquitectura,2025-II,Jueves,17,0.4636363636363636,0.5,0.25,Presencial,0,0.15542372881355931,0,0.06917669883233554,Bajo,0,0.164,Baja
136,Certificado,Ingeniería,2025-II,Miércoles,18,0.36363636363636365,0.125,0.65,Virtual,0,0.2655932203389831,0,0.21274947697608929,Alto,1,0.36,Alta
137,Homologación,Educación,2025-II,Viernes,12,0.6727272727272726,0.75,0.0,Presencial,0,0.16101694915254236,0,0.033582116563751,Bajo,1,0.06,Alta
138,Matrícula,Arquitectura,2025-II,Jueves,12,0.6818181818181818,0.5,0.9000000000000001,Presencial,0,0.22322033898305083,0,0.23144803422639515,Alto,1,0.271,Alta
139,Certificado,Arquitectura,2025-II,Viernes,8,0.4999999999999999,0.875,0.4,Virtual,0,0.10542372881355933,1,0.06354469049290931,Bajo,0,0.2,Baja
140,Matrícula,Administración,2025-I,Jueves,13,0.20909090909090908,0.0,0.8500000000000001,Presencial,0,0.2627118644067796,0,0.25835571417195724,Alto,1,0.667,Alta
141,Constancia,Ingeniería,2025-I,Viernes,8,0.0,1.0,0.8500000000000001,Virtual,0,0.0,1,0.011502906492735578,Bajo,0,2.2,Baja
142,Constancia,Ingeniería,2025-I,Viernes,12,0.1818181818181818,0.625,0.5,Presencial,0,0.05576271186440679,0,0.04211699809612057,Bajo,0,0.5,Baja
143,Matrícula,Derecho,2025-I,Viernes,15,0.00909090909090908,0.5,0.3500000000000001,Presencial,1,0.014067796610169492,1,0.011502906492735578,Bajo,1,1.091,Alta
144,Retiro,Administración,2025-I,Lunes,13,0.7999999999999999,0.5,0.25,Presencial,0,0.2598305084745762,0,0.11381289860213263,Medio,1,0.102,Alta
145,Homologación,Medicina,2025-I,Martes,17,0.6,1.0,0.25,Presencial,0,0.11186440677966102,0,0.05059396694633665,Bajo,1,0.132,Alta
146,Matrícula,Derecho,2025-II,Miércoles,16,0.6,0.75,0.0,Virtual,0,0.14406779661016947,1,0.02996257392915831,Bajo,1,0.066,Alta
147,Retiro,Arquitectura,2025-I,Viernes,13,0.4545454545454545,0.75,0.45000000000000007,Virtual,0,0.11016949152542373,0,0.07158731422697427,Bajo,0,0.233,Baja
148,Retiro,Educación,2025-I,Martes,12,0.24545454545454545,0.375,0.75,Presencial,0,0.10847457627118644,0,0.10271538088447144,Bajo,0,0.541,Baja
149,Constancia,Ingeniería,2025-II,Miércoles,18,0.12727272727272726,0.75,0.2,Virtual,0,0.03389830508474577,0,0.015122449127328269,Bajo,0,0.375,Baja
150,Matrícula,Derecho,2025-I,Martes,9,0.6909090909090908,0.25,0.55,Presencial,0,0.34745762711864403,1,0.244601452160505,Alto,1,0.186,Alta
151,Matrícula,Administración,2025-I,Viernes,18,0.9272727272727271,0.875,0.10000000000000003,Virtual,0,0.19389830508474573,0,0.05863659068040161,Bajo,1,0.062,Alta
152,Matrícula,Derecho,2025-I,Lunes,16,0.36363636363636365,0.0,0.050000000000000044,Presencial,0,0.4067796610169491,1,0.1041631979383085,Medio,1,0.12,Alta
153,Retiro,Arquitectura,2025-II,Lunes,9,0.6909090909090908,0.75,0.10000000000000003,Virtual,0,0.16525423728813557,1,0.05005103555114775,Bajo,1,0.081,Alta
154,Homologación,Educación,2025-II,Viernes,13,0.2727272727272727,0.0,0.30000000000000004,Virtual,0,0.3220338983050847,0,0.1548367948226062,Medio,1,0.275,Alta
155,Constancia,Derecho,2025-I,Jueves,18,0.6181818181818182,0.625,0.7000000000000001,Presencial,0,0.17186440677966103,0,0.14883559313445155,Medio,1,0.244,Alta
156,Matrícula,Arquitectura,2025-I,Jueves,8,0.11818181818181817,0.125,0.6000000000000001,Presencial,0,0.11305084745762713,1,0.08992391721382086,Bajo,1,0.739,Alta
157,Matrícula,Educación,2025-II,Martes,11,0.027272727272727268,1.0,0.0,Presencial,0,0.005084745762711864,1,0.0002823243254982304,Bajo,0,0.385,Baja
158,Matrícula,Educación,2025-I,Martes,11,0.2909090909090909,1.0,0.9000000000000001,Presencial,0,0.054237288135593226,1,0.06550648260085855,Bajo,0,0.548,Baja
159,Retiro,Arquitectura,2025-II,Martes,13,0.8181818181818181,0.0,0.4,Presencial,0,0.8305084745762712,0,0.46611746139757776,Alto,1,0.13,Alta
